user_id,product_id,product_name,category,rating,purchase_count,price,total_spent,purchase_date
349,49,Clean Code,Libros,5,3,321.49,964.47,2025-08-03
301,11,Camiseta Deportiva,Ropa,5,1,117.13,117.13,2025-12-13
266,50,El Principito,Libros,4,3,188.77,566.31,2025-11-17
178,1,Laptop HP,Electrónica,3,2,323.32,646.64,2025-12-24
129,33,Botella Térmica,Deportes,4,2,272.75,545.5,2025-08-09
274,27,Set de Toallas,Hogar,5,3,55.45,166.35,2025-12-05
88,12,Jeans Clásicos,Ropa,5,3,257.62,772.86,2026-01-03
423,2,Mouse Inalámbrico,Electrónica,1,3,22.26,66.78,2025-08-19
136,19,Shorts Deportivos,Ropa,5,1,406.62,406.62,2025-09-08
456,11,Camiseta Deportiva,Ropa,5,2,117.13,234.26,2025-09-12
126,29,Cortinas Blackout,Hogar,3,2,425.27,850.54,2025-09-19
38,2,Mouse Inalámbrico,Electrónica,5,2,22.26,44.52,2025-09-17
105,40,Kit Yoga Completo,Deportes,4,3,292.9,878.7,2025-10-24
376,41,Python para Todos,Libros,3,2,355.24,710.48,2025-12-11
390,35,Pelota Fitness,Deportes,4,1,195.48,195.48,2025-09-16
63,50,El Principito,Libros,4,1,188.77,188.77,2025-10-31
485,32,Colchoneta Yoga,Deportes,4,1,367.57,367.57,2025-10-22
479,9,Hub USB,Electrónica,4,1,216.74,216.74,2025-09-08
264,44,Inteligencia Artificial,Libros,5,1,151.8,151.8,2025-10-05
259,19,Shorts Deportivos,Ropa,4,2,406.62,813.24,2026-01-01
26,3,Teclado Mecánico,Electrónica,4,1,144.76,144.76,2025-12-17
221,6,Webcam HD,Electrónica,5,2,341.58,683.16,2025-10-12
24,46,Data Science Handbook,Libros,4,2,124.07,248.14,2025-12-26
198,41,Python para Todos,Libros,5,3,355.24,1065.72,2025-07-23
313,9,Hub USB,Electrónica,4,2,216.74,433.48,2025-08-24
481,40,Kit Yoga Completo,Deportes,4,3,292.9,878.7,2025-10-03
257,36,Banda Elástica,Deportes,4,2,280.5,561.0,2025-09-14
